ID;NOME_DISCIPLINA;SEMESTRE;CREDITOS
D001;Algoritmos e Lógica de Programação;1;4
D002;Fundamentos de Sistemas de Informação;1;4
D003;Matemática Discreta;1;4
D004;Introdução à Computação;1;2
D005;Programação Orientada a Objetos;2;6
D006;Arquitetura de Computadores;2;4
D007;Engenharia de Software I;2;4
D008;Banco de Dados I;2;4
D009;Estruturas de Dados;3;6
D010;Sistemas Operacionais;3;4
D011;Análise e Projeto de Sistemas;3;4
D012;Probabilidade e Estatística;3;2
D013;Banco de Dados II;4;4
D014;Redes de Computadores;4;6
D015;Engenharia de Software II;4;4
D016;Interação Humano-Computador;4;2
D017;Desenvolvimento Web I;5;4
D018;Computação em Nuvem;5;4
D019;Segurança da Informação;5;6
D020;Governança de TI;5;2
D021;Desenvolvimento Mobile;6;4
D022;Inteligência Artificial;6;6
D023;Sistemas Distribuídos;6;4
D024;Gestão de Projetos de TI;6;2
D025;Big Data e Analytics;7;4
D026;Mineração de Dados;7;4
D027;Internet das Coisas;7;6
D028;Empreendedorismo em Tecnologia;7;2
D029;Arquitetura de Software;8;4
D030;Auditoria e Perícia em TI;8;4
D031;Tópicos Avançados em Sistemas de Informação;8;6
D032;Trabalho de Conclusão de Curso;8;6
